Anaphalis szechuanensis
Anaphalis tenuisissima
Anaphalis tibetica
Anaphalis virens
Anaphalis viridis
Artemisia abaensis
Artemisia aksaiensis
Artemisia baimaensis
Artemisia comaiensis
Artemisia conaensis
Artemisia duthreuil-de-rhinsi
Artemisia erlangshanensis
Artemisia fulgens
Artemisia gongshanensis
Artemisia gyangzeensis
Artemisia gyitangensis
Artemisia imponens
Artemisia jilongensis
Artemisia kangmarensis
Artemisia mattfeldii
Artemisia nanschanica
Artemisia nujianensis
Artemisia occidentali-sinensis
Artemisia pamirica
Artemisia pewzowii
Artemisia phyllobotrys
Artemisia prattii
Artemisia przewalskii
Artemisia robusta
Artemisia sinensis
Artemisia smithii
Artemisia speciosa
Artemisia succulentoides
Artemisia tafelii
Artemisia tainingensis
Artemisia tangutica
Artemisia tridactyla
Artemisia viscida
Artemisia viscidissima
Artemisia waltonii
Artemisia xigazeensis
Artemisia yadongensis
Artemisia younghusbandii
Artemisia youngii
Artemisia yunnanensis
Artemisia zayuensis
Artemisia zhongdianensis
Aster argyropholis
Aster batangensis
Aster bietii
Aster bipinnatisectus
Aster brevis
Aster bulleyanus
Aster dolichopodus
Aster fulgidulus
Aster handelii
Aster hersileoides
Aster heterolepis
Aster hololachnus
Aster homochlamydeus
Aster hypoleucus
Aster ionoglossus
Aster jeffreyanus
Aster lavanduliifolius
Aster lingulatus
Aster longipetiolatus
Aster megalanthus
Aster poliothamnus
Aster polius
Aster retusus
Aster setchuenensis
Aster sikuensis
Aster techinensis
Aster tongolensis
Aster trichoneurus
Aster tsarungensis
Aster yunnanensis
Bolocephalus saussureoides
Cancrinia maximowiczii
Carpesium humile
Carpesium lipskyi
Chaetoseris lyriformis
Chaetoseris macrocephala
Chaetoseris pectiniformis
Chaetoseris sichuanensis
Cicerbita roborowskii
Cirsium chrysolepis
Cirsium handelii
Cirsium muliense
Cirsium periacanthaceum
Cirsium subulariforme
Cirsium tibeticum
Cousinia lasiophylla
Cousinia sclerolepis
Cremanthodium angustifolium
Cremanthodium botryocephalum
Cremanthodium brachychaetum
Cremanthodium brunneopilosum
Cremanthodium bulbilliferum
Cremanthodium bupleurifolium
Cremanthodium calcicola
Cremanthodium conaense
Cremanthodium cordatum
Cremanthodium cucullatum
Cremanthodium daochengense
Cremanthodium dissectum
Cremanthodium forrestii
Cremanthodium glandulipilosum
Cremanthodium glaucum
Cremanthodium humile
Cremanthodium laciniatum
Cremanthodium lineare
Cremanthodium lingulatum
Cremanthodium microglossum
Cremanthodium microphyllum
Cremanthodium nervosum
Cremanthodium nobile
Cremanthodium obovatum
Cremanthodium phyllodineum
Cremanthodium potaninii
Cremanthodium prattii
Cremanthodium principis
Cremanthodium puberulum
Cremanthodium rhodocephalum
Cremanthodium sino-oblongatum
Cremanthodium spathulifolium
Cremanthodium stenactinium
Cremanthodium stenoglossum
Cremanthodium suave
Cremanthodium trilobum
Cremanthodium variifolium
Cremanthodium yadongense
Crepis elongata
Diplazoptilon picridifolium
Distephanus forrestii
Dolomiaea berardioidea
Dolomiaea calophylla
Dolomiaea crispo-undulata
Dolomiaea forrestii
Dolomiaea georgii
Dolomiaea lateritia
Dolomiaea platylepis
Dolomiaea souliei
Dolomiaea wardii
Doronicum conaense
Doronicum gansuense
Doronicum stenoglossum
Doronicum thibetanum
Dubyaea amoena
Dubyaea cymiformis
Dubyaea gombalana
Dubyaea muliensis
Dubyaea rubra
Dubyaea tsarongensis
Erigeron kiukiangensis
Erigeron kunshanensis
Erigeron lanuginosus
Erigeron leucoglossus
Erigeron multifolius
Erigeron porphyrolepis
Erigeron purpurascens
Erigeron tenuicaulis
Faberia thibetica
Formania mekongensis
Gerbera connata
Gerbera curvisquama
Gerbera lijiangensis
Gerbera saxatilis
Helichrysum kashgaricum
Heteropappus bowerii
Hippolytia desmantha
Hippolytia glomerata
Hippolytia kennedyi
Hippolytia syncalathiformis
Hippolytia yunnanensis
Ixeridium aculeolatum
Jurinea kaschgarica
Jurinea pamirica
Leontopodium artemisiifolium
Leontopodium calocephalum
Leontopodium franchetii
Leontopodium haplophylloides
Leontopodium melanolepis
Leontopodium micranthum
Leontopodium muscoides
Leontopodium niveum
Leontopodium roseum
Leontopodium souliei
Leontopodium stoechas
Leontopodium stoloniferum
Leontopodium suffruticosum
Leontopodium villosum
Leontopodium wilsonii
Ligularia alatipes
Ligularia atroviolacea
Ligularia brassicoides
Ligularia chalybea
Ligularia changiana
Ligularia confertiflora
Ligularia curvisquama
Ligularia cyathiceps
Ligularia cymbulifera
Ligularia cymosa
Ligularia dictyoneura
Ligularia discoidea
Ligularia eriocaulis
Ligularia euryphylla
Ligularia ghatsukupa
Ligularia kangtingensis
Ligularia konkalingensis
Ligularia lapathifolia
Ligularia latipes
Ligularia liatroides
Ligularia lidjiangensis
Ligularia lingiana
Ligularia longihastata
Ligularia macrodonta
Ligularia melanocephala
Ligularia melanothyrsa
Ligularia microcardia
Ligularia microcephala
Ligularia muliensis
Ligularia myriocephala
Ligularia nyingchiensis
Ligularia odontomanes
Ligularia oligonema
Ligularia paradoxa
Ligularia petiolaris
Ligularia phoenicochaeta
Ligularia pleurocaulis
Ligularia potaninii
Ligularia pterodonta
Ligularia pubifolia
Ligularia purdomii
Ligularia rockiana
Ligularia stenoglossa
Ligularia subspicata
Ligularia tenuicaulis
Ligularia tongkyukensis
Ligularia tongolensis
Ligularia transversifolia
Ligularia tsangchanensis
Ligularia vellerea
Ligularia yunnanensis
Nannoglottis delavayi
Nannoglottis latisquama
Nannoglottis ravida
Nannoglottis yunnanensis
Parasenecio cyclotus
Parasenecio deltophyllus
Parasenecio hastiformis
Parasenecio jiulongensis
Parasenecio latipes
Parasenecio lidjiangensis
Parasenecio longispicus
Parasenecio maowenensis
Parasenecio palmatisectus
Parasenecio rockianus
Parasenecio souliei
Pertya angustifolia
Pertya berberidoides
Pertya monocephala
Pertya phylicoides
Pertya uniflora
Petasites versipilus
Pulicaria chrysantha
Pulicaria insignis
Pyrethrum arrasanicum
Pyrethrum tatsienense
Saussurea acroura
Saussurea apus
Saussurea arenaria
Saussurea aster
Saussurea bella
Saussurea bomiensis
Saussurea brachylepis
Saussurea brunneopilosa
Saussurea bullata
Saussurea caudata
Saussurea centiloba
Saussurea ceterach
Saussurea chionophora
Saussurea ciliaris
Saussurea cochlearifolia
Saussurea colpodes
Saussurea columnaris
Saussurea compta
Saussurea coriacea
Saussurea coriolepis
Saussurea delavayi
Saussurea dschungdienensis
Saussurea dzeurensis
Saussurea eriocephala
Saussurea erubescens
Saussurea euodonta
Saussurea fistulosa
Saussurea flavo-virens
Saussurea georgei
Saussurea graciliformis
Saussurea graminea
Saussurea grandiceps
Saussurea grosseserrata
Saussurea gyacaensis
Saussurea haoi
Saussurea hypsipeta
Saussurea integrifolia
Saussurea irregularis
Saussurea kansuensis
Saussurea katochaete
Saussurea kingii
Saussurea lanata
Saussurea laniceps
Saussurea lavrenkoana
Saussurea leptolepis
Saussurea leucoma
Saussurea lhunzhubensis
Saussurea limprichtii
Saussurea lingulata
Saussurea longifolia
Saussurea loriformis
Saussurea lyratifolia
Saussurea malitiosa
Saussurea melanotrica
Saussurea micradenia
Saussurea minuta
Saussurea montana
Saussurea muliensis
Saussurea nematolepis
Saussurea neofranchetii
Saussurea nidularis
Saussurea nyalamensis
Saussurea ochrochlaena
Saussurea ovatifolia
Saussurea paleacea
Saussurea paxiana
Saussurea phaeantha
Saussurea polycolea
Saussurea polypodioides
Saussurea poochlamys
Saussurea porphyroleuca
Saussurea pratensis
Saussurea pseudomalitiosa
Saussurea pteridophylla
Saussurea pubescens
Saussurea pubifolia
Saussurea pulchra
Saussurea pulvinata
Saussurea pumila
Saussurea purpurascens
Saussurea quercifolia
Saussurea retroserrata
Saussurea rhytidocarpa
Saussurea rockii
Saussurea romuleifolia
Saussurea salwinensis
Saussurea scabrida
Saussurea semiamplexicaulis
Saussurea semifasciata
Saussurea semilyrata
Saussurea sericea
Saussurea souliei
saussurea spatulifolia
Saussurea subulisquama
Saussurea tatsienensis
Saussurea thoroldii
Saussurea tibetica
Saussurea uliginosa
Saussurea undulata
Saussurea variiloba
Saussurea velutina
Saussurea wellbyi
Saussurea wettsteiniana
Saussurea woodiana
Saussurea yunnanensis
Scorzonera pamirica
Senecio atrofuscus
Senecio chungtienensis
Senecio daochengensis
Senecio densiserratus
Senecio diversipinnus
Senecio dodrans
Senecio drukensis
Senecio echaetus
Senecio erythropappus
Senecio kongboensis
Senecio lhasaensis
Senecio lijiangensis
Senecio lingianus
Senecio megalanthus
Senecio muliensis
Senecio multibracteolatus
Senecio myriocephalus
Senecio nigrocinctus
Senecio nodiflorus
Senecio pteridophyllus
Senecio saussureoides
Senecio spathiphyllus
Senecio tricuspis
Seriphidium grenardii
Sinacalia caroli
Sinosenecio fangianus
Sinosenecio rotundifolius
Sinosenecio subrosulatus
Sinosenecio sungpanensis
Soroseris teres
Stenoseris tenuis
Syncalathium chrysocephalum
Syncalathium disciforme
Syncalathium kawaguchii
Syncalathium roseum
Syncalathium souliei
Synotis auriculata
Synotis muliensis
Synotis otophylla
Synotis setchuanensis
Synotis solidaginea
Synotis xantholeuca
Taraxacum calanthodium
Taraxacum centrasiaticum
Taraxacum chionophilum
Taraxacum dasypodum
Taraxacum forrestii
Taraxacum glaucophyllum
Taraxacum grypodon
Taraxacum lanigerum
Taraxacum ludlowii
Taraxacum lugubre
Taraxacum maurocarpum
Taraxacum qirae
Taraxacum stenoceras
Taraxacum suberiopodum
Tephroseris rufa
Xanthopappus subacaulis
Youngia hastiformis
Youngia kangdingensis
Youngia paleacea
Youngia pilifera
Youngia terminalis
Impatiens apsotis
Impatiens bahanensis
Impatiens barbata
Impatiens chiulungensis
Impatiens conaensis
Impatiens crassicaudex
Impatiens delavayi
Impatiens desmantha
Impatiens fragicolor
Impatiens gongshanensis
Impatiens hengduanensis
Impatiens infirma
Impatiens lingzhiensis
Impatiens margaritifera
Impatiens medogensis
Impatiens microcentra
Impatiens muliensis
Impatiens mussoti
Impatiens nubigena
Impatiens nyimana
Impatiens odontopetala
Impatiens oligoneura
Impatiens scutisepala
Impatiens soulieana
Impatiens subecalcarata
Impatiens taronensis
Impatiens tenerrima
Impatiens tenuibracteata
Impatiens thiochroa
Impatiens tomentella
Impatiens tortisepala
Impatiens torulosa
Impatiens toxophora
Impatiens vittata
Impatiens waldheimiana
Impatiens weihsiensis
Impatiens xanthocephala
Begonia asperifolia
Begonia brevisetulosa
Begonia gungshanensis
Berberis agricola
Berberis approximata
Berberis asmyana
Berberis batangensis
Berberis brachystachys
Berberis bracteata
Berberis calcipratorum
Berberis calliantha
Berberis campylotropa
Berberis chrysosphaera
Berberis concolor
Berberis contracta
Berberis coryi
Berberis crassilimba
Berberis daiana
Berberis daochengensis
Berberis dawoensis
Berberis delavayi
Berberis derongensis
Berberis dictyoneura
Berberis dictyophylla
Berberis dumicola
Berberis elliotii
