拉丁名,纬度-Latitude,经度 - Longitude
Delphinium kingianum,29.3,91.98
Delphinium kingianum var. acuminatissimum,29.3,91.98
Delphinium kingianum var. eglandulosum,29.3,91.98
Delphinium lagarocentrum,38.073254,104.69114
Delphinium lagarolobum,38.073254,104.69114
Delphinium langxianense,38.073254,104.69114
Delphinium latilimbum,18.252625,109.511923
Delphinium leiophyllum,29.89,91.26
Delphinium leiostachyum,27.92,101.27
Delphinium lihengianum,27.48,88.9
Delphinium likiangense,26.876096,100.229945
Delphinium longibracteolatum,31.505278,98.289444
Delphinium longipedicellatum,29.85,95.76
Delphinium longziense,38.073254,104.69114
Delphinium medogense,29.32,95.33
Delphinium nangchienense,32.0944,97.2667
Delphinium nangziense,31.712092,88.118532
Delphinium nordhagenii,33.38,79.73
Delphinium nordhagenii var. acutidentatum,33.38,79.73
Delphinium nortonii,28.35,90.9
Delphinium obcordatilimbum,31.22,96.6
Delphinium pomeense,29.85,95.76
Delphinium pseudoglaciale,29.68,89.09
Delphinium pseudopulcherrimum,36.519977,103.891767
Delphinium pseudoyunnanense,38.073254,104.69114
Delphinium pulanense,30.3,81.17
Delphinium purpurascens,28.17,85.98
Delphinium pylzowii,34.432222,100.333889
Delphinium pylzowii var. trigynum,34.432222,100.333889
Delphinium sherriffii,29.04,93.07
Delphinium subspathulatum,28.17,85.98
Delphinium tabatae,28.85,85.29
Delphinium tangkulaense,34.177222,97.768611
Delphinium tenii,35.86,104.2
Delphinium tephranthum,38.073254,104.69114
Delphinium thibeticum,28.8675,99.2458
Delphinium thibeticum var. laceratilobum,31.21,100.27
Delphinium tongolense,25.012526,102.700013
Delphinium trichophorum,36.519977,103.891767
Delphinium umbrosum var. drepanocentrum,28,91.95
Delphinium vestitum,28.11,86
Delphinium viridiovarium,38.073254,104.69114
Delphinium viscosum,31.87,99.12
Delphinium viscosum var. chrysotrichum,31.68,94.92
Delphinium wardii,29.05,93.98
Delphinium xanthanthum,28.75,98.25
Delphinium zhanangense,38.073254,104.69114
Delphinium zuogongense,29.494444,97.943889
Dichocarpum adiantifolium,23.763342,98.82524
Gymnaconitum gymnandrum,36.508261,100.903803
Halerpestes cymbalaria,29.89,91.26
Halerpestes filisecta,32.4,81.12
Halerpestes lancifolia,31.47,79.8
Halerpestes ruthenica,32.573889,97.210556
Halerpestes sarmentosa,45.677401,129.939423
Halerpestes tricuspis,34.634722,99.744722
Halerpestes tricuspis var. heterophylla,31.39,90
Halerpestes tricuspis var. intermedia,31.8,98.58
Halerpestes tricuspis var. variifolia,27.82308,99.706013
Oxygraphis delavayi,35.86,104.2
Oxygraphis endlicheri,28.5733,99.8117
Oxygraphis glacialis,34.469167,100.3925
Oxygraphis tenuifolia,29.914155,102.234618
Paraquilegia anemonoides,30.659926,117.490786
Paraquilegia caespitosa,37.77,75.22
Paraquilegia microphylla,31.68115,103.85348
Ranunculus adoxifolius,38.073254,104.69114
Ranunculus banguoensis,31.39,90
Ranunculus banguoensis var. grandiflorus,30.29,81.17
Ranunculus brotherusii,34.633333,99.733333
Ranunculus cantoniensis,35.86,104.2
Ranunculus chinensis,44.609,130.332
Ranunculus chuanchingensis,32.77,96.67
Ranunculus decandrus,22.54,114.05
Ranunculus densiciliatus,28.36,87.76
Ranunculus dielsianus,29.1381,99.3342
Ranunculus dielsianus var. suprasericeus,28.48611,98.911543
Ranunculus diffusus,35.86,104.2
Ranunculus dingjieensis,28.37,87.77
Ranunculus distans,30.034341,94.9898
Ranunculus dongrergensis,32.26,91.68
Ranunculus dongrergensis var. altifidus,0,0
Ranunculus duoxionglashanicus,38.073254,104.69114
Ranunculus ficariifolius,35.86,104.2
Ranunculus furcatifidus,30.29,81.17
Ranunculus glabricaulis,34.580833,99.450833
Ranunculus glareosus,32.573889,97.210556
Ranunculus hirtellus var. humilis,32.26,91.68
Ranunculus humillimus,33.27,104.23
Ranunculus indivisus,33.57587,102.961829
Ranunculus japonicus,25.25,110.05
Ranunculus limprichtii,28.85,90.45
Ranunculus longziensis,38.073254,104.69114
Ranunculus mainlingensis,29.63,94.36
Ranunculus melanogynus,38.073254,104.69114
Ranunculus membranaceus,34.588611,100.557778
Ranunculus membranaceus var. pubescens,32.97,98.1
Ranunculus minor,28.36,87.76
Ranunculus muricatus,28.15,120.28
Ranunculus natans,43.44,87.44
Ranunculus nephelogenes,32.8792,97.0675
Ranunculus nephelogenes var. longicaulis,36.36,101.448056
Ranunculus nyalamensis,28.17,85.98
Ranunculus nyalamensis var. angustipetalus,28.17,85.98
Ranunculus oreionannos,28.36,87.76
Ranunculus pegaeus,29.63,94.36
Ranunculus popovii var. stracheyanus,28.48611,98.911543
Ranunculus potaninii,34.73,92.92
Ranunculus pseudopygmaeus,28.85,85.29
Ranunculus sikkimensis,35.86,104.2
Ranunculus silerifolius,24.580446,99.92854
Ranunculus similis,34.116667,97.65
Ranunculus tanguticus,29.914155,102.234618
Ranunculus trigonus,25.0036,98.5833
Ranunculus yaoanus,38.073254,104.69114
Thalictrum alpinum var. elatum,35.86,104.2
Thalictrum atriplex,28.48611,98.911543
Thalictrum baicalense,46.039417,132.598139
Thalictrum changii,30.2272,120.141
Thalictrum chelidonii,28.85,85.29
Thalictrum cirrhosum,26.088547,103.176727
Thalictrum cultratum,35.86,104.2
Thalictrum delavayi,27.079372,100.259819
Thalictrum diffusiflorum,28.93,93.23
Thalictrum elegans,28.48611,98.911543
Thalictrum finetii,35.86,104.2
Thalictrum foetidum,34.714722,100.711944
Thalictrum foliolosum,22.777794,100.970535
Thalictrum hengduanshanense,33.693889,99.431111
Thalictrum lecoyeri,28.01,102.84
Thalictrum leuconotum,32.0806,97.0072
Thalictrum longistipitatum,18.626309,109.700342
Thalictrum minus,34.676667,100.643333
Thalictrum minus subsp. maxwellii,42.831,126.497
Thalictrum nepalense,27.629986,99.685448
Thalictrum neurocarpum,28.17,85.98
Thalictrum platycarpum,27.82308,99.706013
Thalictrum przewalskii,34.714722,100.711944
Thalictrum reniforme,27.48,88.9
Thalictrum rostellatum,35.86,104.2
Thalictrum rotundifolium,28.85,85.29
Thalictrum rutifolium,33.693889,99.431111
Thalictrum saniculiforme,28.66,97.46
Thalictrum secundum,35.060556,117.436944
Thalictrum smithii,28.6003,100.287
Thalictrum squamiferum,33.000556,97.328889
Thalictrum tsawarungense,29.85,95.76
Thalictrum uncatum,33.1567,96.6483
Thalictrum virgatum,28.85,85.29
Trollius farreri,29.66666,91.35
Trollius farreri var. major,28.35861,98.78694
Trollius micranthus,27.740736,98.66582
Trollius pumilus,34.460556,100.401667
Trollius pumilus var. tanguticus,34.469167,100.3925
Trollius ranunculoides,28.385,98.78583
Trollius vaginatus,27.82308,99.706013
Trollius yunnanensis,35.86,104.2
Meliosma angustifolia,18.74,109.17
Meliosma arnottiana,25.759722,98.706111
Meliosma cuneifolia,29.85,95.76
Meliosma dilleniifolia,35.86,104.2
Meliosma dumicola,29.32,95.33
Meliosma parviflora,29.49,103.39
Meliosma pinnata,29.32,95.33
Meliosma simplicifolia,36.519977,103.891767
Meliosma thomsonii,35.86,104.2
Meliosma yunnanensis,35.86,104.2
Sabia campanulata,36.519977,103.891767
Sabia campanulata subsp. ritchieae,33.32,105.6
Sabia lanceolata,26.466667,111.316667
Sabia parviflora,29.32,95.33
Sabia purpurea,29.32,95.33
Sabia purpurea subsp. dumicola,29.32,95.33
Sabia yunnanensis,29.016667,107
Nelumbo nucifera,31.662187,119.879837
Platanus orientalis,27.221519,112.805557
Helicia excelsa,35.86,104.2
Helicia grandis,29.32,95.33
Helicia nilagirica,29.32,95.33
Helicia tibetensis,29.32,95.33
Helicia vestita,29.32,95.33
Helicia vestita var. longipes,29.32,95.33
Tetracentron sinense,35.86,104.2
Trochodendron aralioides,29.914155,102.234618
Buxus myrica,23.49,108.62
Buxus rugulosa,31.82,108.62
Buxus rugulosa var. prostrata,27.60667,99.64528
Buxus rugulosa var. rupicola,27.82308,99.706013
Buxus sinica,24.913331,113.082651
Sarcococca hookeriana,35.86,104.2
Sarcococca hookeriana var. digyna,35.86,104.2
Sarcococca saligna,30.55,103.29
Sarcococca wallichii,35.86,104.2
Dillenia indica,22.01071,100.799775
Dillenia scabrella,18.74,109.17
Tetracera sarmentosa,29.15,112.5
Tetracera scandens,22.69,112.22
Paeonia anomala subsp. veitchii,26.908457,102.930168
Paeonia delavayi,35.86,104.2
Paeonia emodi,28.85,85.29
Paeonia ludlowii,28.356141,99.073041
Paeonia sterniana,31.712092,88.118532
Altingia chinensis,26.466667,111.316667
Altingia excelsa,35.86,104.2
Corylopsis himalayana,35.86,104.2
Exbucklandia populnea,35.86,104.2
Loropetalum chinense,0,0
Daphniphyllum calycinum,0,0
Daphniphyllum chartaceum,0,0
Daphniphyllum himalense,0,0
Daphniphyllum paxianum,35.86,104.2
Itea chinensis,35.86,104.2
Itea kiukiangensis,35.86,104.2
Itea macrophylla,21.941271,101.255528
Itea omeiensis,25.586814,115.714352
Itea yunnanensis,35.86,104.2
Ribes alpestre,35.86,104.2
Ribes alpestre var. eglandulosum,30.055305,101.96483
Ribes alpinum,27.2822,100.85195
Ribes glaciale,29.05,93.95
Ribes griffithii,27.48,88.9
Ribes gyirongense,28.85,85.3
Ribes himalense,35.86,104.2
Ribes himalense var. pubicalycinum,30.055305,101.96483
Ribes himalense var. verruculosum,40.042275,115.489731
Ribes kialanum,31.82,108.62
Ribes laciniatum,28.48611,98.911543
Ribes luridum,35.86,104.2
Ribes orientale,27.82308,99.706013
Ribes pseudofasciculatum,31.08,96.97
Ribes qingzangense,27.48,88.9
Ribes qingzangense var. urceolatum,29.87,95.77
Ribes soulieanum,28.85,85.29
Ribes stenocarpum,37.2,102.4
Ribes takare,35.86,104.2
Ribes takare var. desmocarpum,29.914155,102.234618
Ribes tenue,35.86,104.2
Ribes xizangense,28.661276,97.466916
Astilbe rivularis,35.86,104.2
Astilbe rivularis var. myriantha,29.73797,103.231884
Astilbe rubra,25.584234,100.222124
Bergenia ciliata,28.85,85.29
Bergenia pacumbis,28.85,85.29
Bergenia purpurascens,28.66,97.46
Bergenia stracheyi,31.712092,88.118532
Chrysosplenium absconditicapsulum,29.65,91.12
Chrysosplenium arunachalense,28.385,98.78583
Chrysosplenium carnosum,29.63,94.36
Chrysosplenium forrestii,35.86,104.2
Chrysosplenium griffithii,28.385,98.78583
Chrysosplenium lanuginosum,36.519977,103.891767
Chrysosplenium nepalense,29.138831,94.211324
Chrysosplenium nudicaule,36.519977,103.891767
Chrysosplenium oxygraphoides,31.712092,88.118532
Chrysosplenium sikangense,35.86,104.2
Chrysosplenium uniflorum,32.883056,96.685
Micranthes divaricata,32.63,103.6
Micranthes dungbooi,38.073254,104.69114
Micranthes lumpuensis,34.69,103.35
Micranthes melanocentra,34.469167,100.3925
Micranthes pallida,25.75,100.08
Rodgersia aesculifolia,27.083101,100.262459
Rodgersia aesculifolia var. henricii,23.763342,98.82524
Rodgersia nepalensis,30.84985,102.96234
Rodgersia pinnata,27.078239,100.256783
Rodgersia podophylla,33.4,104.92
Rodgersia sambucifolia,36.519977,103.891767
Saxifraga afghanica,32.883056,96.685
Saxifraga andersonii,28.65,87.12
Saxifraga aristulata,28.37,99.02
Saxifraga aristulata var. longipila,27.42,101.5
Saxifraga assamensis,35.86,104.2
Saxifraga atuntsiensis,28.46357,98.91699
Saxifraga aurantiaca,27.82308,99.706013
Saxifraga auriculata,30.05,101.96
Saxifraga auriculata var. conaensis,28,91.95
Saxifraga bergenioides,29.14,92.59
Saxifraga brachypoda,28.3523,85.7833
Saxifraga brachypodoidea,29.54,103.36
Saxifraga brevicaulis,29.15,92.58
Saxifraga brunneopunctata,29.58,91.15
Saxifraga brunonis,28.85,85.29
Saxifraga caveana,29,93.98
Saxifraga caveana var. lanceolata,29,93.98
Saxifraga cernua,30.29,81.17
Saxifraga chionophila,27.82308,99.706013
Saxifraga chumbiensis,28.935103,90.554197
Saxifraga ciliatopetala,29.77,84.03
Saxifraga clivorum,28.36,87.76
Saxifraga coarctata,27.82308,99.706013
Saxifraga congestiflora,36.89,100.99
Saxifraga consanguinea,31.13,96.9
Saxifraga contraria,24.833333,98.783333
Saxifraga cordigera,29.54,103.36
Saxifraga decora,28.48611,98.911543
Saxifraga densifoliata var. nedongensis,30.05,101.96
Saxifraga deqenensis,28.48611,98.911543
Saxifraga diapensia,28.596944,99.867778
Saxifraga diffusicallosa,27.48,88.9
Saxifraga dingqingensis,29.54,103.36
Saxifraga diversifolia,29.67,94.38
Saxifraga diversifolia var. angustibracteata,27.92,101.27
Saxifraga doyalana,29.54,103.36
Saxifraga dshagalensis,29.54,103.36
Saxifraga eglandulosa,29.58,95
Saxifraga egregia,32.15,97.045
Saxifraga egregia var. eciliata,29.85,95.76
Saxifraga egregioides,29.32,95.33
Saxifraga elliotii,32.775339,103.623545
Saxifraga elliptica,29.14,92.59
Saxifraga engleriana,29,93.98
Saxifraga erectisepala,34.43,104.03
Saxifraga erinacea,27.928385,91.879639
Saxifraga filicaulis,28.491111,98.939722
Saxifraga filifolia,35.86,104.2
Saxifraga finitima,28.628445,98.633361
Saxifraga flaccida,28.85,85.29
Saxifraga gedangensis,29.32,95.33
Saxifraga glaucophylla,28.93,99.79
Saxifraga gouldii,29,93.95
Saxifraga gouldii var. eglandulosa,29,93.95
Saxifraga granulifera,29.1419,99.6497
Saxifraga gyalana,30.05,96.91
Saxifraga haplophylloides,28,91.95
Saxifraga heleonastes,26.9,117.17
Saxifraga hemisphaerica,32.77,96.67
Saxifraga hengduanensis,26.901731,98.869207
Saxifraga heteroclada,28.650694,98.621167
Saxifraga heteroclada var. aurantia,28.66,97.46
Saxifraga heterocladoides,29.85,95.76
Saxifraga heterotricha,29.97,93.68
Saxifraga heterotricha var. anadena,29.1278,99.9753
Saxifraga hirculoides,34.334167,100.509444
Saxifraga hirculus,28.497222,98.956389
Saxifraga hirculus var. alpina,32.49,80.09
Saxifraga hispidula,28.66,97.46
Saxifraga hookeri,29.89,91.26
Saxifraga hypericoides,27.42,101.5
Saxifraga implicans,28.71,99.28
Saxifraga isophylla,29.58,95
Saxifraga jacquemontiana,29,93.98
Saxifraga jainzhuglaensis,29.85,95.76
Saxifraga kingdonii,29.58,95
Saxifraga kingiana,28.85,85.29
Saxifraga kongboensis,29.63,94.36
Saxifraga lepidostolonosa,28,91.95
Saxifraga likiangensis,30.05,96.91
Saxifraga litangensis,29.03,92.33
Saxifraga llonakhensis,28.66,97.46
Saxifraga ludlowii,27.6961,98.4553
Saxifraga lychnitis,29.77,84.03
Saxifraga macrostigmatoides,35.86,104.2
Saxifraga medogensis,29.32,95.33
Saxifraga mengtzeana,30.99,102.36
Saxifraga microgyna,28.48611,98.911543
Saxifraga miralana,29,93.98
Saxifraga monantha,35.86,104.2
Saxifraga montanella,27.762306,98.941667
Saxifraga montanella var. retusa,27.762306,98.941667
Saxifraga moorcroftiana,27.177166,99.28717
Saxifraga mucronulata,27.82308,99.706013
Saxifraga mucronulatoides,28.12,91.9
Saxifraga nakaoides,28,91.95
Saxifraga nambulana,29.54,103.36
Saxifraga nanella,32.5739,97.2106
Saxifraga nanella var. glabrisepala,28.36,87.76
Saxifraga nangxianensis,29.65,91.12
Saxifraga nigroglandulifera,35.86,104.2
Saxifraga nigroglandulosa,28.93,99.79
Saxifraga omphalodifolia,29.32,95.33
Saxifraga oppositifolia,42.6,85.5
Saxifraga oreophila,34.56,99.67
Saxifraga paiquensis,29.54,103.36
Saxifraga pardanthina,28.93,99.79
Saxifraga parkaensis,30.29,81.17
Saxifraga parnassiifolia,29.54,103.36
Saxifraga parva,33.85,95.62
Saxifraga perpusilla,29.14,92.59
Saxifraga pilopetala,28.93,99.79
Saxifraga prattii,30.05,101.96
Saxifraga przewalskii,33.75,97.05
Saxifraga pseudohirculus,30.055305,101.96483
Saxifraga pulchra,26.876096,100.229945
Saxifraga pulvinaria,27.82308,99.706013
Saxifraga punctulata,27.48,88.9
Saxifraga punctulata var. minuta,29.77,84.03
Saxifraga punctulatoides,28.849247,91.998363
Saxifraga rotundipetala,29.85,95.76
Saxifraga rufescens,41.806,126.907
Saxifraga saginoides,30.35,90.57
Saxifraga sanguinea,30.05,101.96
Saxifraga sediformis,28.66,97.46
Saxifraga sessiliflora,28.65,87.12
Saxifraga sheqilaensis,29.63,94.36
Saxifraga sibirica,36.519977,103.891767
Saxifraga signata,32.77,96.67
Saxifraga signatella,28.53,92.42
Saxifraga sinomontana,28.596944,99.867778
Saxifraga sphaeradena,28.85,85.29
Saxifraga sphaeradena subsp. dhwojii,28.85,85.29
Saxifraga stella-aurea,35.86,104.2
Saxifraga stella-aurea var. macrostellata,35.86,104.2
Saxifraga stenophylla,30.05,96.91
Saxifraga strigosa,0,0
Saxifraga subaequifoliata,0,0
Saxifraga subsessiliflora,27.82308,99.706013
Saxifraga substrigosa,28.95,93.22
Saxifraga subternata,29.65,94.366667
Saxifraga subtsangchanensis,29.85,95.76
Saxifraga tangutica,28.47,90.58
Saxifraga tangutica var. platyphylla,28.93,99.79
Saxifraga taraktophylla,29.63,94.36
Saxifraga tentaculata,24.35,114.13
Saxifraga tibetica,33.290107,101.112238
Saxifraga tigrina,29.22,94.22
Saxifraga tsangchanensis,28.5733,99.8117
Saxifraga umbellulata,28.88,92.1
Saxifraga umbellulata var. muricola,29.65,91.12
Saxifraga umbellulata var. pectinata,31.13,97.18
Saxifraga unguiculata,30.35,90.57
Saxifraga viscidula,40.339275,115.831877
Saxifraga wallichiana,28.95,93.22
Saxifraga wardii,29.609126,94.654199
Saxifraga wardii var. glabripedicellata,28.36444,98.79166
Saxifraga yarlungzangboensis,29,93.97
Saxifraga zayuensis,28.48611,98.911543
Tiarella polyphylla,35.86,104.2
Bryophyllum pinnatum,24.47,118.08
Kalanchoe ceratophylla,21.475834,101.56752
Kalanchoe integra,36.519977,103.891767
Ohbaea balfourii,27.92,101.27
Orostachys spinosa,36.519977,103.891767
Orostachys thyrsiflora,36.35,76.67
Rhodiola alsia,28.48611,98.911543
Rhodiola alsia subsp. kawaguchii,0,0
Rhodiola alterna,31.480245,93.679637
Rhodiola amabilis,27.790653,99.583008
Rhodiola atsaensis,28.53,92.42
Rhodiola atuntsuensis,27.790653,99.583008
Rhodiola bupleuroides,35.86,104.2
Rhodiola calliantha,28.85,85.29
Rhodiola chrysanthemifolia,28.48611,98.911543
Rhodiola coccinea,28.71,99.28
Rhodiola coccinea subsp. scabrida,28.93,99.79
Rhodiola crenulata,29.037008,100.298406
Rhodiola cretinii,27.98,87.13
Rhodiola cretinii subsp. sinoalpina,28.36,87.76
Rhodiola discolor,27.82308,99.706013
Rhodiola dumulosa,32.15,97.045
Rhodiola fastigiata,35.86,104.2
Rhodiola heterodonta,30.64,93.23
Rhodiola himalensis,29.1339,100.043
Rhodiola himalensis subsp. taohoensis,34.58,103.5
Rhodiola hobsonii,29.88,93.24
Rhodiola humilis,31.833056,96.488333
Rhodiola humilis var. jialiensis,31.833056,96.488333
Rhodiola imbricata,37.05,75.45
Rhodiola kaschgarica,31.13,97.18
Rhodiola kirilowii,32.075556,97.065278
Rhodiola litwinowii,37.77,75.22
Rhodiola macrocarpa,35.86,104.2
Rhodiola namlingensis,27.790653,99.583008
Rhodiola nepalica,29.15,88.07
Rhodiola nobilis,28.48611,98.911543
Rhodiola ovatisepala,29.85,95.76
Rhodiola ovatisepala var. chingii,28.661276,97.466916
Rhodiola prainii,28.85,85.29
Rhodiola primuloides,32.918333,97.3275
Rhodiola primuloides subsp. kongboensis,29.05,93.98
Rhodiola purpureoviridis,35.86,104.2
Rhodiola purpureoviridis subsp. phariensis,27.03806,100.18139
Rhodiola quadrifida,31.9272,96.4597
Rhodiola sacra,32.120833,97.035
Rhodiola sacra var. tsuiana,32.085556,97.011944
Rhodiola sedoides,27.790653,99.583008
Rhodiola serrata,29.65,94.98
Rhodiola sexifolia,31.49,98.21
Rhodiola sherriffii,29.83,91.73
Rhodiola sinuata,27.82308,99.706013
Rhodiola smithii,32,90
Rhodiola stapfii,27.75,89.17
Rhodiola tangutica,33.75,97.05
Rhodiola tibetica,29.6728,96.7781
Rhodiola tieghemii,29.22,94.22
Rhodiola tricarpa,27.790653,99.583008
Rhodiola wallichiana,35.86,104.2
Rhodiola wallichiana var. cholaensis,27.82308,99.706013
Rhodiola wangii,23.03,106.76
Rhodiola yunnanensis,35.86,104.2
Rosularia alpestris,31.47,79.8
Sedum alfredii,28.67,104.01
Sedum bergeri,25.012526,102.700013
Sedum celatum,34.78,92.88
Sedum chauveaudii,30.91,102.54
Sedum emarginatum,32.1,114.08
Sedum erici-magnusii,29.1239,99.9967
Sedum fedtschenkoi,43.870518,85.566173
Sedum fischeri,34.177222,97.768611
Sedum gagei,29.14,92.59
Sedum glaebosum,33.000556,97.328889
Sedum heckelii,28.66,97.46
Sedum hengduanense,29.037008,100.298406
Sedum henrici-robertii,34.3683,100.222
Sedum longyanense,31.13,97.18
Sedum lutzii,29.32,95.33
Sedum majus,35.86,104.2
Sedum multicaule,29.32,95.33
Sedum multicaule subsp. rugosum,28.66,97.46
Sedum obtrullatum,28.48611,98.911543
Sedum obtusipetalum,28.48611,98.911543
Sedum oreades,29.85,95.76
Sedum przewalskii,35.86,104.2
Sedum raymondii,27.82308,99.706013
Sedum roborowskii,32.15,96.533333
Sedum shigatsense,38.073254,104.69114
Sedum sinoglaciale,27.92,101.27
Sedum susanneae,32.637983,103.59895
Sedum susanneae var. macrosepalum,30.055305,101.96483
Sedum triactina,29.22,102.35
Sedum trullipetalum,35.86,104.2
Sedum trullipetalum var. ciliatum,30.055305,101.96483
Sedum tsonanum,28,91.95
Sedum ulricae,32.120833,97.035
Sinocrassula densirosulata,26.322045,99.863564
Sinocrassula indica,35.86,104.2
Sinocrassula indica var. luteorubra,35.86,104.2
Sinocrassula indica var. obtusifolia,30,99.1
Sinocrassula indica var. serrata,31.56955,110.85799
Sinocrassula indica var. viridiflora,33.32,106.15
Sinocrassula paoshingensis var. spinulosa,35.86,104.2
Sinocrassula techinensis,29.04,93.07
Tillaea schimperi,29.49,103.39
Gonocarpus micranthus,27.698056,98.303611
Myriophyllum spicatum,30.34,119.95
Myriophyllum verticillatum,39.867956,116.195928
Ampelocissus barbata,28.85,85.29
Ampelocissus divaricata,28.85,85.29
Ampelocissus latifolia,28.85,85.29
Ampelocissus sikkimensis,21.475834,101.56752
Ampelocissus xizangensis,28.85,85.29
Ampelopsis acutidentata,28.8436,98.6642
Ampelopsis bodinieri,35.86,104.2
Ampelopsis bodinieri var. cinerea,35.86,104.2
Causonis corniculata,27.75,118.03
Causonis japonica,24.6888,97.7471
Causonis medogensis,29.326875,95.328655
Causonis trifolia,22.01071,100.799775
Cayratia geniculata,21.475834,101.56752
Cayratia mollissima,18.252625,109.511923
Cayratia pedata,23.437468,104.672252
Cissus adnata,21.957355,100.452547
Cissus assamica,26.43,110.85
Cissus heyneana,26.0272,98.6286
Cissus javana,24.02,117.72
Cissus repanda,27.37,102.53
Cissus repens,24.93,105.84
Leea aequata,22.792186,103.086573
Leea alata,21.934011,101.260734
Leea asiatica,21.932023,101.252419
Leea compactiflora,21.934011,101.260734
Leea guineense,29.32,95.33
Leea indica,23.12,113.34
Leea macrophylla,21.934011,101.260734
Nekemias grossedentata,25.166111,116.193611
Parthenocissus feddei,29.990847,109.484961
Parthenocissus henryana,29.3,102.47
Parthenocissus semicordata,24.8308,98.7678
Tetrastigma bracteolatum,24.983333,112.833333
Tetrastigma delavayi,35.86,104.2
Tetrastigma dubium,35.86,104.2
Tetrastigma hemsleyanum,24.983333,112.833333
Tetrastigma henryi,35.86,104.2
Tetrastigma hypoglaucum,25.2975,98.7953
Tetrastigma jinghongense,28.66,97.46
Tetrastigma lenticellatum,22.010889,100.79926
Tetrastigma obovatum,32.44,104.55
Tetrastigma obtectum,35.86,104.2
Tetrastigma planicaule,29.15,112.5
Tetrastigma rumicispermum,27.7411,98.3453
Tetrastigma rumicispermum var. lasiogynum,24.58669,98.689166
Tetrastigma rupestre,23.13,106.42
Tetrastigma serrulatum,35.86,104.2
Tetrastigma serrulatum var. puberulum,23.880344,100.092756
Tetrastigma sichouense var. megalocarpum,29.32,95.33
Tetrastigma thomsonianum,24.983333,112.833333
Tetrastigma triphyllum var. hirtum,25.150199,102.079017
Tetrastigma xizangense,29.32,95.33
Tetrastigma yunnanense,35.86,104.2
Vitis betulifolia,0,0
Vitis heyneana,26.0272,98.6286
Vitis vinifera,24.479669,118.089767
Tribulus terrestris,39.333333,106.983333
Aganope polystachya,18.252625,109.511923
Albizia chinensis,35.86,104.2
Albizia julibrissin,33.081569,107.045478
Albizia kalkora,30.353794,119.436458
Albizia lebbeck,25.380343,118.10704
Albizia lucidior,22.653799,108.310905
Albizia mollis,25.012526,102.700013
Albizia odoratissima,35.86,104.2
Albizia procera,21.475834,101.56752
Albizia sherriffii,35.86,104.2
Alysicarpus glumaceus,26.534082,100.42293
Amphicarpaea edgeworthii,41.7512,127.9692
Amphicarpaea ferruginea,27.0983,100.175
Apios carnea,30,94.88
Apios delavayi,35.86,104.2
Apios fortunei,24.7,117.31
Apios macrantha,27.82308,99.706013
Arachis hypogaea,31.375019,119.823343
Archidendron arunachalense,21.68,101.42
Archidendron bigeminum,29.6,103.48
Archidendron clypearia,21.68,101.42
Archidendron nielsenianum,21.68,101.42
Astragalus acaulis,29.68,98.5
Astragalus arnoldii,37.06,82.69
Astragalus austrotibetanus,29.47,86.58
Astragalus batangensis,28.13,99.43
Astragalus baxoiensis,29.6728,96.7781
Astragalus bhotanensis,25.584234,100.222124
Astragalus blandulus,38.073254,104.69114
Astragalus bouffordii,31.273333,96.969722
Astragalus brachytrichus,25.8833,100.017
Astragalus breviscapus,27.44948,99.822464
Astragalus caeruleopetalinus,27.92,101.27
Astragalus caeruleopetalinus var. glabricarpus,29.85,95.76
Astragalus chagyabensis,25.379999,105.709999
Astragalus changduensis,32.0803,97.02
Astragalus changmuicus,28.17,85.98
Astragalus cobresiiphilus,28.91,89.6
Astragalus coluteocarpus,42.26,86.86
Astragalus conaensis,27.9833,91.9833
Astragalus confertus,28.85,85.29
Astragalus crassifolius,30.05,101.96
Astragalus damxungensis,38.073254,104.69114
Astragalus degensis,27.82308,99.706013
Astragalus degensis var. rockianus,27.82308,99.706013
Astragalus densiflorus,32.27,96.22
Astragalus densiflorus var. konlonicus,32.27,96.22
Astragalus despectus,38.073254,104.69114
Astragalus dingjiensis,28.36,87.76
Astragalus dumetorum,25.275367,103.003972
Astragalus ernestii,30.28,99.5
Astragalus falconeri,30.29,81.17
Astragalus fenzelianus,31.0778,96.9478
Astragalus floridulus,36.47,101.61
Astragalus graveolens,26.684218,100.750798
Astragalus hancockii,40.044142,115.502009
Astragalus hedinii,31.47,79.8
Astragalus heterodontus,31.47,79.8
Astragalus hoffmeisteri,36.25,77.92
Astragalus hysophilus,38.073254,104.69114
Astragalus jiazaensis,38.073254,104.69114
Astragalus khasianus,25.67,100.13
Astragalus kialensis,29.7372,96.065
Astragalus kukunoricus,37.32,100.14
Astragalus kuschakewiczii,31.725,100.744
Astragalus laetabilis,38.073254,104.69114
Astragalus lamalaensis,38.073254,104.69114
Astragalus laxmannii,43.88,127.79
Astragalus lessertioides,28.93,99.79
Astragalus leucocephalus,28.65,87.12
Astragalus lhorongensis,29.72,98.45
Astragalus li-nii,28.5,90.55
Astragalus longiscapus,28.17,85.98
Astragalus lucidus,28.48611,98.911543
Astragalus malcolmii,35.74523,94.317009
Astragalus maowensis,38.073254,104.69114
Astragalus mattam,34.1278,97.6578
Astragalus mekongensis,28.71,99.28
Astragalus melanostachys,31.80612,98.580912
Astragalus membranaceus,38.073254,104.69114
Astragalus membranaceus var. mongholicus,38.073254,104.69114
